Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cum_Cured,Cum_Deaths,Cum_Confirmed,Cured,Deaths,Confirmed
1672,07/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33,0,0,0
1705,08/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,1,0,0
1738,09/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
1771,10/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
1804,11/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
1837,12/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
1870,13/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
1903,14/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
1936,15/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
1969,16/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2002,17/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2035,18/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2068,19/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2101,20/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2135,21/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2169,22/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2203,23/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2237,24/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2272,25/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2307,26/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2343,27/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2379,28/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2415,29/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2451,30/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2487,31/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2523,01/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2559,02/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2595,03/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2631,04/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2667,05/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2703,06/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2739,07/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2775,08/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2811,09/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2847,10/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,33,0,0,0
2883,11/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,34,0,0,1
2920,12/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38,0,0,4
2956,13/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38,0,0,0
2992,14/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38,0,0,0
3028,15/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,38,0,0,0
3064,16/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,41,0,0,3
3100,17/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,44,0,0,3
3136,18/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,44,0,0,0
3172,19/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,33,0,44,0,0,0
3208,20/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,35,0,45,2,0,1
3244,21/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,36,0,47,1,0,2
3280,22/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,37,0,48,1,0,1
3316,23/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,37,0,48,0,0,0
3352,24/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,40,0,50,3,0,2
3388,25/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,56,3,0,6
3424,26/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,59,0,0,3
3460,27/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,72,0,0,13
3496,28/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,43,0,72,0,0,0
3532,29/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,45,0,76,2,0,4
3568,30/06/20,8:00 AM,Andaman and Nicobar Islands,-,-,46,0,90,1,0,14
3604,01/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,50,0,97,4,0,7
3640,02/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,50,0,100,0,0,3
3676,03/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,51,0,109,1,0,9
3712,04/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,54,0,116,3,0,7
3748,05/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,66,0,119,12,0,3
3784,06/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,72,0,125,6,0,6
3820,07/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,74,0,141,2,0,16
3856,08/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,75,0,147,1,0,6
3892,09/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,77,0,149,2,0,2
3928,10/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,83,0,151,6,0,2
3964,11/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,92,0,156,9,0,5
4000,12/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,93,0,163,1,0,7
4036,13/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,93,0,163,0,0,0
4072,14/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,109,0,166,16,0,3
4108,15/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,109,0,166,0,0,0
4144,16/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,130,0,176,21,0,10
4180,17/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,133,0,180,3,0,4
4216,18/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,142,0,194,9,0,14
4252,19/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,145,0,198,3,0,4
4287,20/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,145,0,203,0,0,5
4322,21/07/20,8:00 AM,Andaman and Nicobar Islands,-,-,152,0,207,7,0,4
122,12/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1,0,0,0
135,13/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1,0,0,0
148,14/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1,0,0,0
149,15/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1,0,0,0
163,16/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1,0,0,0
178,17/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1,0,0,0
193,18/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1,0,0,0
210,19/03/20,6:00 PM,Andhra Pradesh,2,0,0,0,2,0,0,1
229,20/03/20,6:00 PM,Andhra Pradesh,3,0,0,0,3,0,0,1
249,21/03/20,6:00 PM,Andhra Pradesh,3,0,0,0,3,0,0,0
271,22/03/20,6:00 PM,Andhra Pradesh,5,0,0,0,5,0,0,2
294,23/03/20,6:00 PM,Andhra Pradesh,7,0,0,0,7,0,0,2
317,24/03/20,6:00 PM,Andhra Pradesh,8,0,0,0,8,0,0,1
341,25/03/20,6:00 PM,Andhra Pradesh,9,0,1,0,9,1,0,1
367,26/03/20,6:00 PM,Andhra Pradesh,11,0,1,0,11,0,0,2
394,27/03/20,10:00 AM,Andhra Pradesh,12,0,1,0,12,0,0,1
420,28/03/20,6:00 PM,Andhra Pradesh,14,0,1,0,14,0,0,2
447,29/03/20,7:30 PM,Andhra Pradesh,-,-,1,0,19,0,0,5
474,30/03/20,9:30 PM,Andhra Pradesh,-,-,1,0,23,0,0,4
502,31/03/20,8:30 PM,Andhra Pradesh,-,-,1,0,40,0,0,17
530,01/04/20,7:30 PM,Andhra Pradesh,-,-,1,0,83,0,0,43
559,02/04/20,6:00 PM,Andhra Pradesh,-,-,1,1,86,0,1,3
588,03/04/20,6:00 PM,Andhra Pradesh,-,-,1,1,132,0,0,46
619,04/04/20,6:00 PM,Andhra Pradesh,-,-,1,1,161,0,0,29
649,05/04/20,6:00 PM,Andhra Pradesh,-,-,1,1,190,0,0,29
679,06/04/20,6:00 PM,Andhra Pradesh,-,-,1,3,226,0,2,36
709,07/04/20,6:00 PM,Andhra Pradesh,-,-,1,3,266,0,0,40
740,08/04/20,5:00 PM,Andhra Pradesh,-,-,5,4,305,4,1,39
771,09/04/20,5:00 PM,Andhra Pradesh,-,-,6,4,348,1,0,43
802,10/04/20,5:00 PM,Andhra Pradesh,-,-,7,6,363,1,2,15
833,11/04/20,5:00 PM,Andhra Pradesh,-,-,11,6,381,4,0,18
864,12/04/20,5:00 PM,Andhra Pradesh,-,-,11,6,381,0,0,0
895,13/04/20,5:00 PM,Andhra Pradesh,-,-,11,7,432,0,1,51
927,14/04/20,5:00 PM,Andhra Pradesh,-,-,14,9,473,3,2,41
961,15/04/20,5:00 PM,Andhra Pradesh,-,-,16,9,503,2,0,30
994,16/04/20,5:00 PM,Andhra Pradesh,-,-,20,14,534,4,5,31
1027,17/04/20,5:00 PM,Andhra Pradesh,-,-,36,14,572,16,0,38
1060,18/04/20,5:00 PM,Andhra Pradesh,-,-,42,15,603,6,1,31
1093,19/04/20,5:00 PM,Andhra Pradesh,-,-,42,15,603,0,0,0
1126,20/04/20,5:00 PM,Andhra Pradesh,-,-,92,20,722,50,5,119
1159,21/04/20,5:00 PM,Andhra Pradesh,-,-,96,22,757,4,2,35
1192,22/04/20,5:00 PM,Andhra Pradesh,-,-,120,24,813,24,2,56
1224,23/04/20,5:00 PM,Andhra Pradesh,-,-,141,27,895,21,3,82
1256,24/04/20,5:00 PM,Andhra Pradesh,-,-,145,29,955,4,2,60
1288,25/04/20,5:00 PM,Andhra Pradesh,-,-,171,31,1061,26,2,106
1320,26/04/20,5:00 PM,Andhra Pradesh,-,-,231,31,1097,60,0,36
1352,27/04/20,5:00 PM,Andhra Pradesh,-,-,235,31,1177,4,0,80
1384,28/04/20,5:00 PM,Andhra Pradesh,-,-,258,31,1259,23,0,82
1416,29/04/20,5:00 PM,Andhra Pradesh,-,-,287,31,1332,29,0,73
1448,30/04/20,5:00 PM,Andhra Pradesh,-,-,321,31,1403,34,0,71
1480,01/05/20,5:00 PM,Andhra Pradesh,-,-,403,33,1463,82,2,60
1512,02/05/20,5:00 PM,Andhra Pradesh,-,-,403,33,1463,0,0,0
1544,03/05/20,5:00 PM,Andhra Pradesh,-,-,488,33,1583,85,0,120
1576,04/05/20,5:00 PM,Andhra Pradesh,-,-,524,36,1650,36,3,67
1608,05/05/20,5:00 PM,Andhra Pradesh,-,-,589,36,1717,65,0,67
1640,06/05/20,8:00 AM,Andhra Pradesh,-,-,589,36,1717,0,0,0
1673,07/05/20,8:00 AM,Andhra Pradesh,-,-,729,36,1777,140,0,60
1706,08/05/20,8:00 AM,Andhra Pradesh,-,-,780,38,1847,51,2,70
1739,09/05/20,8:00 AM,Andhra Pradesh,-,-,842,41,1887,62,3,40
1772,10/05/20,8:00 AM,Andhra Pradesh,-,-,887,44,1930,45,3,43
1805,11/05/20,8:00 AM,Andhra Pradesh,-,-,925,45,1980,38,1,50
1838,12/05/20,8:00 AM,Andhra Pradesh,-,-,975,45,2018,50,0,38
1871,13/05/20,8:00 AM,Andhra Pradesh,-,-,1056,46,2090,81,1,72
1904,14/05/20,8:00 AM,Andhra Pradesh,-,-,1142,47,2137,86,1,47
1937,15/05/20,8:00 AM,Andhra Pradesh,-,-,1192,48,2205,50,1,68
1970,16/05/20,8:00 AM,Andhra Pradesh,-,-,1252,48,2307,60,0,102
2003,17/05/20,8:00 AM,Andhra Pradesh,-,-,1353,49,2355,101,1,48
2036,18/05/20,8:00 AM,Andhra Pradesh,-,-,1456,50,2407,103,1,52
2069,19/05/20,8:00 AM,Andhra Pradesh,-,-,1552,50,2474,96,0,67
2102,20/05/20,8:00 AM,Andhra Pradesh,-,-,1621,52,2532,69,2,58
2136,21/05/20,8:00 AM,Andhra Pradesh,-,-,1640,53,2602,19,1,70
2170,22/05/20,8:00 AM,Andhra Pradesh,-,-,1709,53,2647,69,0,45
2204,23/05/20,8:00 AM,Andhra Pradesh,-,-,1763,55,2709,54,2,62
2238,24/05/20,8:00 AM,Andhra Pradesh,-,-,1809,56,2757,46,1,48
2273,25/05/20,8:00 AM,Andhra Pradesh,-,-,1856,56,2823,47,0,66
2308,26/05/20,8:00 AM,Andhra Pradesh,-,-,1896,56,3110,40,0,287
2344,27/05/20,8:00 AM,Andhra Pradesh,-,-,2009,57,3171,113,1,61
2380,28/05/20,8:00 AM,Andhra Pradesh,-,-,2057,58,3171,48,1,0
2416,29/05/20,8:00 AM,Andhra Pradesh,-,-,2125,59,3251,68,1,80
2452,30/05/20,8:00 AM,Andhra Pradesh,-,-,2226,60,3436,101,1,185
2488,31/05/20,8:00 AM,Andhra Pradesh,-,-,2289,60,3569,63,0,133
2524,01/06/20,8:00 AM,Andhra Pradesh,-,-,2349,62,3679,60,2,110
2560,02/06/20,8:00 AM,Andhra Pradesh,-,-,2378,64,3783,29,2,104
2596,03/06/20,8:00 AM,Andhra Pradesh,-,-,2421,64,3898,43,0,115
2632,04/06/20,8:00 AM,Andhra Pradesh,-,-,2466,68,4080,45,4,182
2668,05/06/20,8:00 AM,Andhra Pradesh,-,-,2539,71,4223,73,3,143
2704,06/06/20,8:00 AM,Andhra Pradesh,-,-,2576,73,4303,37,2,80
2740,07/06/20,8:00 AM,Andhra Pradesh,-,-,2620,73,4510,44,0,207
2776,08/06/20,8:00 AM,Andhra Pradesh,-,-,2682,75,4708,62,2,198
2812,09/06/20,8:00 AM,Andhra Pradesh,-,-,2745,75,4851,63,0,143
2848,10/06/20,8:00 AM,Andhra Pradesh,-,-,2802,77,5070,57,2,219
2884,11/06/20,8:00 AM,Andhra Pradesh,-,-,2899,78,5269,97,1,199
2921,12/06/20,8:00 AM,Andhra Pradesh,-,-,3048,80,5429,149,2,160
2957,13/06/20,8:00 AM,Andhra Pradesh,-,-,3105,80,5680,57,0,251
2993,14/06/20,8:00 AM,Andhra Pradesh,-,-,3195,82,5965,90,2,285
3029,15/06/20,8:00 AM,Andhra Pradesh,-,-,3314,84,6163,119,2,198
3065,16/06/20,8:00 AM,Andhra Pradesh,-,-,3316,88,6456,2,4,293
3101,17/06/20,8:00 AM,Andhra Pradesh,-,-,3509,88,6841,193,0,385
3137,18/06/20,8:00 AM,Andhra Pradesh,-,-,3641,90,7071,132,2,230
3173,19/06/20,8:00 AM,Andhra Pradesh,-,-,3789,92,7518,148,2,447
3209,20/06/20,8:00 AM,Andhra Pradesh,-,-,3917,96,7961,128,4,443
3245,21/06/20,8:00 AM,Andhra Pradesh,-,-,4111,101,8452,194,5,491
3281,22/06/20,8:00 AM,Andhra Pradesh,-,-,4331,106,8999,220,5,547
3317,23/06/20,8:00 AM,Andhra Pradesh,-,-,4495,111,9372,164,5,373
3353,24/06/20,8:00 AM,Andhra Pradesh,-,-,4599,119,10002,104,8,630
3389,25/06/20,8:00 AM,Andhra Pradesh,-,-,4779,124,10331,180,5,329
3425,26/06/20,8:00 AM,Andhra Pradesh,-,-,4988,136,10884,209,12,553
3461,27/06/20,8:00 AM,Andhra Pradesh,-,-,5196,148,11489,208,12,605
3497,28/06/20,8:00 AM,Andhra Pradesh,-,-,5480,157,12285,284,9,796
3533,29/06/20,8:00 AM,Andhra Pradesh,-,-,5908,169,13241,428,12,956
3569,30/06/20,8:00 AM,Andhra Pradesh,-,-,6232,180,13891,324,11,650
3605,01/07/20,8:00 AM,Andhra Pradesh,-,-,6511,187,14595,279,7,704
3641,02/07/20,8:00 AM,Andhra Pradesh,-,-,6988,193,15252,477,6,657
3677,03/07/20,8:00 AM,Andhra Pradesh,-,-,7313,198,16097,325,5,845
3713,04/07/20,8:00 AM,Andhra Pradesh,-,-,7632,206,16934,319,8,837
3749,05/07/20,8:00 AM,Andhra Pradesh,-,-,8008,218,17699,376,12,765
3785,06/07/20,8:00 AM,Andhra Pradesh,-,-,8422,232,18697,414,14,998
3821,07/07/20,8:00 AM,Andhra Pradesh,-,-,8920,239,20019,498,7,1322
3857,08/07/20,8:00 AM,Andhra Pradesh,-,-,9745,252,21197,825,13,1178
3893,09/07/20,8:00 AM,Andhra Pradesh,-,-,11101,264,22259,1356,12,1062
3929,10/07/20,8:00 AM,Andhra Pradesh,-,-,12154,277,23814,1053,13,1555
3965,11/07/20,8:00 AM,Andhra Pradesh,-,-,13194,292,25422,1040,15,1608
4001,12/07/20,8:00 AM,Andhra Pradesh,-,-,14393,309,27235,1199,17,1813
4037,13/07/20,8:00 AM,Andhra Pradesh,-,-,15412,328,29168,1019,19,1933
4073,14/07/20,8:00 AM,Andhra Pradesh,-,-,16464,365,31103,1052,37,1935
4109,15/07/20,8:00 AM,Andhra Pradesh,-,-,17467,408,33019,1003,43,1916
4145,16/07/20,8:00 AM,Andhra Pradesh,-,-,18378,452,35451,911,44,2432
4181,17/07/20,8:00 AM,Andhra Pradesh,-,-,19393,492,38044,1015,40,2593
4217,18/07/20,8:00 AM,Andhra Pradesh,-,-,20298,534,40646,905,42,2602
4253,19/07/20,8:00 AM,Andhra Pradesh,-,-,21763,586,44609,1465,52,3963
4288,20/07/20,8:00 AM,Andhra Pradesh,-,-,22890,642,49650,1127,56,5041
4323,21/07/20,8:00 AM,Andhra Pradesh,-,-,24228,696,53724,1338,54,4074
590,03/04/20,6:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
621,04/04/20,6:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
651,05/04/20,6:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
681,06/04/20,6:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
711,07/04/20,6:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
742,08/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
773,09/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
804,10/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
835,11/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
866,12/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
897,13/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
929,14/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
962,15/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
995,16/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
1028,17/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
1061,18/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
1094,19/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
1127,20/04/20,5:00 PM,Arunachal Pradesh,-,-,0,0,1,0,0,0
1160,21/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,1,0,0
1193,22/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1225,23/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1257,24/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1289,25/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1321,26/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1353,27/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1385,28/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1417,29/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1449,30/04/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1481,01/05/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1513,02/05/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1545,03/05/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1577,04/05/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1609,05/05/20,5:00 PM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1641,06/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1674,07/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1707,08/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1740,09/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1773,10/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1806,11/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1839,12/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1872,13/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1905,14/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1938,15/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
1971,16/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2004,17/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2037,18/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2070,19/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2103,20/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2137,21/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2171,22/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2205,23/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2239,24/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2274,25/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,1,0,0,0
2309,26/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,2,0,0,1
2345,27/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,2,0,0,0
2381,28/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,2,0,0,0
2417,29/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,3,0,0,1
2453,30/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,3,0,0,0
2489,31/05/20,8:00 AM,Arunachal Pradesh,-,-,1,0,4,0,0,1
2525,01/06/20,8:00 AM,Arunachal Pradesh,-,-,1,0,4,0,0,0
2561,02/06/20,8:00 AM,Arunachal Pradesh,-,-,1,0,22,0,0,18
2597,03/06/20,8:00 AM,Arunachal Pradesh,-,-,1,0,22,0,0,0
2633,04/06/20,8:00 AM,Arunachal Pradesh,-,-,1,0,38,0,0,16
